tconst	averageRating	numVotes
tt0020668	6.4	841
tt0020670	5.8	161
tt0020673	5.4	177
tt0020679	6.2	283
tt0020686	7.1	1866
tt0020690	5.8	215
tt0020691	7.2	3337
tt0020693	6.0	348
tt0020695	6.1	601
tt0020697	7.7	13473
tt0020701	6.2	416
tt0020702	5.4	327
tt0020713	5.6	241
tt0020724	5.4	135
tt0020740	4.7	125
tt0020754	6.2	112
tt0020758	5.7	342
tt0020763	5.7	116
tt0020768	7.8	2871
tt0020785	5.4	105
tt0020793	7.6	997
tt0020799	6.1	211
tt0020806	6.1	466
tt0020814	7.0	187
tt0020815	7.2	1611
tt0020821	6.5	540
tt0020823	6.0	150
tt0020827	6.8	2739
tt0020828	5.3	330
tt0020836	6.5	949
tt0020838	5.8	395
tt0020842	6.6	735
tt0020852	5.3	341
tt0020866	5.9	102
tt0020869	5.2	151
tt0020873	6.3	137
tt0020875	6.9	440
tt0020876	6.7	956
tt0020890	6.5	158
tt0020891	6.1	1245
tt0020894	6.5	198
tt0020896	6.5	338
tt0020900	6.1	194
tt0020902	5.6	816
tt0020919	5.3	802
tt0020924	6.0	157
tt0020926	4.3	123
tt0020929	5.5	322
tt0020938	5.4	350
tt0020945	6.1	304
tt0020949	5.4	120
tt0020959	5.5	145
tt0020960	7.4	4791
tt0020966	6.5	228
tt0020980	6.5	490
tt0020985	6.5	360
tt0020987	6.1	302
tt0021001	5.3	114
tt0021013	6.7	226
tt0021015	4.8	2043
tt0021016	5.4	642
tt0021025	6.7	1054
tt0021040	6.7	1044
tt0021042	6.0	153
tt0021044	6.6	146
tt0021048	5.3	130
tt0021053	6.5	282
tt0021060	6.5	418
tt0021061	5.4	115
tt0021069	5.6	128
tt0021070	4.5	132
tt0021074	6.8	399
tt0021079	7.3	11901
tt0021087	6.1	372
tt0021090	5.3	124
tt0021092	5.6	230
tt0021094	5.2	141
tt0021100	5.4	165
tt0021102	6.2	112
tt0021106	6.5	852
tt0021110	5.7	164
tt0021121	6.2	190
tt0021128	6.1	669
tt0021132	5.7	155
tt0021133	5.0	234
tt0021134	5.0	198
tt0021140	5.8	223
tt0021148	6.8	1558
tt0021149	5.7	402
tt0021152	4.6	425
tt0021153	6.8	1115
tt0021156	7.1	5524
tt0021165	6.4	5714
tt0021178	6.1	138
tt0021189	6.0	1012
tt0021191	5.3	244
tt0021197	6.2	391
tt0021216	5.8	117
tt0021217	5.8	377
tt0021223	6.1	595
tt0021224	5.9	150
tt0021225	6.7	454
tt0021228	6.2	609
tt0021232	5.8	252
