tconst	directors	writers
tt4669986	nm2158772	nm2158772,nm1799233
tt4670016	nm0502954	nm2477891
tt4671002	nm4581620	nm4581620
tt4671274	nm0412517	nm0412517
tt4671306	nm5885530	nm5885530
tt4672350	nm7315954	\N
tt4673790	nm0858680	nm0858680,nm3644268
tt4673872	nm3359146	\N
tt4674500	nm5919836	nm7363117,nm5919836,nm7363118,nm5814659,nm6995499,nm6796846,nm6368930
tt4675030	nm0409791	nm1571874,nm8229570,nm8257911
tt4675312	nm2079191	nm4901702,nm7300218
tt4675370	nm1101310	nm1101310
tt4675926	nm0645038	nm0645038,nm1397646
tt4675974	nm2371539	nm2371539
tt4675986	nm3734520	nm3732498
tt4676044	nm1108967	nm2626665,nm2054456
tt4676140	nm3200012	nm6388416,nm6388415,nm4395909,nm3200012
tt4676238	nm1288611	nm1707710,nm0269999,nm1602507,nm1288611,nm0818776
tt4676508	nm7319101	nm7319121,nm7319122,nm7319101
tt4677128	nm1389167,nm3646520	nm0598531
tt4677134	nm0952657	nm7319519
tt4677300	nm2477105	\N
tt4677348	nm5872651	nm5872651,nm5933459,nm2589728
tt4677578	nm0406936	nm2088312,nm0406936
tt4677924	nm3894334,nm3892615	nm3894334,nm3892615
tt4678184	nm2190385	nm3642634,nm2190385,nm5165133
tt4678200	nm5123627	nm5123627,nm3846177,nm3573923,nm7321132
tt4678298	nm0112647	nm1372462
tt4678788	nm0430782	nm1330994
tt4679062	nm0432719	nm7321935
tt4679092	nm0258932,nm3616851,nm7321970	nm3464731
tt4679136	nm2334642	\N
tt4679144	nm0367959	\N
tt4679186	nm0430485	\N
tt4679210	nm4733887	nm4733887
tt4679238	nm1265673	nm1265673,nm1487952
tt4679438	nm1076864	nm1769951,nm1076864
tt4680182	nm1443023	nm1443023
tt4680196	nm2294243	nm2294243,nm0133028
tt4680278	nm1540978	nm0215853,nm2218739,nm5763881
tt4680368	nm6131392	nm5883058,nm6131392
tt4680564	nm3351235	\N
tt4680568	nm0272626,nm0333485	nm0264089,nm0272626
tt4680980	nm1424878	nm4712351,nm1424878
tt4681414	nm2432984	nm4030173,nm7324100
tt4681454	nm1310794	nm3095307,nm1310794
tt4682136	nm1555287	nm0155009,nm3046538
tt4682266	nm1837748	nm1837748,nm1029878
tt4682562	nm2974384	nm9198027
tt4682708	nm5495378	nm5495378
tt4682780	nm3146718	nm4391946
tt4682786	nm0291205	nm1615610
tt4682788	nm0508208	nm0508208,nm3104562,nm1905310,nm0885005
tt4682804	nm1279638	nm7325081,nm3253620,nm1279638
tt4682866	nm3651659	nm3648302,nm3651659
tt4683366	nm0219971	nm1100075,nm1834338,nm1300956,nm4423914,nm4815571
tt4683668	nm0706888	nm0706888
tt4684028	nm1378015	nm1378015
tt4684258	nm1754432	nm1754432,nm5392515,nm3586739
tt4684364	nm4917974	nm11526446,nm7620676
tt4684410	nm0564001	nm0564001
tt4684710	nm1168135	nm1747867
tt4685428	nm1359410	nm1359410
tt4685554	nm6230142	nm6230144,nm6229764,nm6230142,nm7327028,nm0501729
tt4685626	nm3307224	nm3307224
tt4685636	nm2591840,nm2932959,nm7704725	nm1650390,nm8549650,nm2260826,nm0901515
tt4685750	nm0043953	nm0043953
tt4685762	nm1830380	nm1830380,nm0276823
tt4685806	nm1950060	nm1955863,nm1950060
tt4685940	nm1596592	nm5278427,nm5649502
tt4685968	nm7326067	nm7326067
tt4686108	nm0753526	nm1777773
tt4686132	nm2671965	\N
tt4686500	nm0474910	nm1066396
tt4686604	nm2660795	nm0443535,nm3348075,nm0800659
tt4686692	nm0009463	nm0009463,nm2108295
tt4686844	nm0406334	nm0406334,nm0773768,nm2254846,nm4397668,nm1942997,nm2934300
tt4686862	nm3282636	nm6559399
tt4687108	nm0622112	nm0622112,nm0000175,nm0454872
tt4687276	nm0666388	nm7328627,nm3674504,nm0666388
tt4687358	nm3240303	nm3240303,nm0769181
tt4687392	nm7147982	nm7147982
tt4687410	nm2759405	nm2759405,nm5359585
tt4687464	nm3613117	nm3286079,nm3613117
tt4687782	nm5141277	nm5141277,nm1496845
tt4687848	nm0227625	nm0227625,nm8691513,nm2091311
tt4687856	nm0001206	nm0001206,nm0957631
tt4688294	nm0274842	nm0274842
tt4688446	nm7329756	nm7329756
tt4688658	nm0198746	nm0198746,nm3460462
tt4689108	nm1896291	nm5799133
tt4689268	nm2268178	nm0306872
tt4689898	nm7330893	nm2426431
tt4689996	nm1823279	nm1823279,nm2383584
tt4690052	nm0510623	nm0266045,nm0416556,nm0510623,nm1246069
tt4690134	nm0321453	nm0666999,nm1337640
tt4690878	nm0633729	nm4014908,nm1785815
tt4691166	nm3008853,nm0451799,nm0626090,nm4221135,nm2566810,nm0848892,nm0867210	nm3008853,nm7142060,nm0451799,nm0626090,nm4221135,nm2566810,nm0848892,nm0867210
tt4691348	nm2621812	nm4540287,nm1270457
tt4691804	nm3255587	nm3255587
tt4691974	nm3028737	nm3028737
tt4692234	nm0326937	nm1703853,nm0326937,nm0723114
tt4692242	nm0326937	nm1703853,nm0326937,nm0723114
tt4692368	nm7397878	nm3221574
tt4692646	nm4296196	nm4296196
tt4693358	nm2279930	nm2053837,nm2279930,nm0927074
tt4693418	nm1148187	\N
tt4693464	nm0195264	nm0195264
tt4693588	nm0553237	nm3820524,nm0970861,nm11019869,nm11370683,nm11370684,nm0553237
